@RELATION tweets
@ATTRIBUTE opens REAL
@ATTRIBUTE bigdatas REAL
@ATTRIBUTE founder REAL
@ATTRIBUTE show REAL
@ATTRIBUTE api REAL
@ATTRIBUTE noaa REAL
@ATTRIBUTE brain REAL
@ATTRIBUTE koulu REAL
@ATTRIBUTE london REAL
@ATTRIBUTE graph REAL
@ATTRIBUTE questions REAL
@ATTRIBUTE enterprise REAL
@ATTRIBUTE talks REAL
@ATTRIBUTE openstack REAL
@ATTRIBUTE still REAL
@ATTRIBUTE deepwater REAL
@ATTRIBUTE content REAL
@ATTRIBUTE giant REAL
@ATTRIBUTE group REAL
@ATTRIBUTE nosql REAL
@ATTRIBUTE also REAL
@ATTRIBUTE sparkr REAL
@ATTRIBUTE flash REAL
@ATTRIBUTE operational REAL
@ATTRIBUTE smallbusinesses REAL
@ATTRIBUTE platform REAL
@ATTRIBUTE cloudexpo REAL
@ATTRIBUTE helps REAL
@ATTRIBUTE passion REAL
@ATTRIBUTE include REAL
@ATTRIBUTE hall REAL
@ATTRIBUTE funder REAL
@ATTRIBUTE rstats REAL
@ATTRIBUTE ceo REAL
@ATTRIBUTE big REAL
@ATTRIBUTE sums REAL
@ATTRIBUTE dataintelligence REAL
@ATTRIBUTE commitment REAL
@ATTRIBUTE schools REAL
@ATTRIBUTE amp REAL
@ATTRIBUTE nanotechnology REAL
@ATTRIBUTE now REAL
@ATTRIBUTE tips REAL
@ATTRIBUTE presidential REAL
@ATTRIBUTE school REAL
@ATTRIBUTE clouds REAL
@ATTRIBUTE success REAL
@ATTRIBUTE cloudcircle REAL
@ATTRIBUTE cdos REAL
@ATTRIBUTE race REAL
@ATTRIBUTE t REAL
@ATTRIBUTE suffolk REAL
@ATTRIBUTE radio REAL
@ATTRIBUTE cios REAL
@ATTRIBUTE disappearing REAL
@ATTRIBUTE report REAL
@ATTRIBUTE bigdataexpo REAL
@ATTRIBUTE there REAL
@ATTRIBUTE twitter REAL
@ATTRIBUTE linux REAL
@ATTRIBUTE discover REAL
@ATTRIBUTE jump REAL
@ATTRIBUTE analytics REAL
@ATTRIBUTE trends REAL
@ATTRIBUTE video REAL
@ATTRIBUTE are REAL
@ATTRIBUTE our REAL
@ATTRIBUTE dataenthusiast REAL
@ATTRIBUTE best REAL
@ATTRIBUTE out REAL
@ATTRIBUTE what REAL
@ATTRIBUTE lead REAL
@ATTRIBUTE bigdata REAL
@ATTRIBUTE detailed REAL
@ATTRIBUTE research REAL
@ATTRIBUTE libraries REAL
@ATTRIBUTE may REAL
@ATTRIBUTE safety REAL
@ATTRIBUTE internet REAL
@ATTRIBUTE new REAL
@ATTRIBUTE learned REAL
@ATTRIBUTE boost REAL
@ATTRIBUTE ict REAL
@ATTRIBUTE preserve REAL
@ATTRIBUTE model REAL
@ATTRIBUTE niche REAL
@ATTRIBUTE reporting REAL
@ATTRIBUTE turning REAL
@ATTRIBUTE business REAL
@ATTRIBUTE marketing REAL
@ATTRIBUTE palmer REAL
@ATTRIBUTE isom REAL
@ATTRIBUTE lakes REAL
@ATTRIBUTE here REAL
@ATTRIBUTE how REAL
@ATTRIBUTE explore REAL
@ATTRIBUTE base REAL
@ATTRIBUTE answers REAL
@ATTRIBUTE soacloud REAL
@ATTRIBUTE interface REAL
@ATTRIBUTE news REAL
@ATTRIBUTE stage REAL
@ATTRIBUTE about REAL
@ATTRIBUTE spill REAL
@ATTRIBUTE kuchbhipelo REAL
@ATTRIBUTE could REAL
@ATTRIBUTE federated REAL
@ATTRIBUTE presentations REAL
@ATTRIBUTE officer REAL
@ATTRIBUTE thing REAL
@ATTRIBUTE streams REAL
@ATTRIBUTE horizon REAL
@ATTRIBUTE social REAL
@ATTRIBUTE railway REAL
@ATTRIBUTE cto REAL
@ATTRIBUTE makes REAL
@ATTRIBUTE think REAL
@ATTRIBUTE first REAL
@ATTRIBUTE and REAL
@ATTRIBUTE via REAL
@ATTRIBUTE useful REAL
@ATTRIBUTE wearables REAL
@ATTRIBUTE can REAL
@ATTRIBUTE press REAL
@ATTRIBUTE infiniflash REAL
@ATTRIBUTE into REAL
@ATTRIBUTE powerful REAL
@ATTRIBUTE encouraging REAL
@ATTRIBUTE devops REAL
@ATTRIBUTE vip REAL
@ATTRIBUTE harness REAL
@ATTRIBUTE hurdle REAL
@ATTRIBUTE embraced REAL
@ATTRIBUTE article REAL
@ATTRIBUTE your REAL
@ATTRIBUTE cloud REAL
@ATTRIBUTE statistics REAL
@ATTRIBUTE from REAL
@ATTRIBUTE leveragealldata REAL
@ATTRIBUTE top REAL
@ATTRIBUTE bigdeal REAL
@ATTRIBUTE management REAL
@ATTRIBUTE system REAL
@ATTRIBUTE clase REAL
@ATTRIBUTE their REAL
@ATTRIBUTE reli REAL
@ATTRIBUTE andy REAL
@ATTRIBUTE statement REAL
@ATTRIBUTE time REAL
@ATTRIBUTE biggest REAL
@ATTRIBUTE dfd REAL
@ATTRIBUTE containers REAL
@ATTRIBUTE more REAL
@ATTRIBUTE media REAL
@ATTRIBUTE direction REAL
@ATTRIBUTE through REAL
@ATTRIBUTE that REAL
@ATTRIBUTE but REAL
@ATTRIBUTE enterprises REAL
@ATTRIBUTE volume REAL
@ATTRIBUTE tamr REAL
@ATTRIBUTE visual REAL
@ATTRIBUTE part REAL
@ATTRIBUTE push REAL
@ATTRIBUTE risks REAL
@ATTRIBUTE russian REAL
@ATTRIBUTE patient REAL
@ATTRIBUTE role REAL
@ATTRIBUTE with REAL
@ATTRIBUTE commerce REAL
@ATTRIBUTE congratulations REAL
@ATTRIBUTE factbeatfear REAL
@ATTRIBUTE iamrap REAL
@ATTRIBUTE streaming REAL
@ATTRIBUTE this REAL
@ATTRIBUTE official REAL
@ATTRIBUTE will REAL
@ATTRIBUTE religionsaas REAL
@ATTRIBUTE kasvatus REAL
@ATTRIBUTE minor REAL
@ATTRIBUTE egbertvanweely REAL
@ATTRIBUTE learn REAL
@ATTRIBUTE site REAL
@ATTRIBUTE completing REAL
@ATTRIBUTE dana REAL
@ATTRIBUTE history REAL
@ATTRIBUTE beautiful REAL
@ATTRIBUTE seven REAL
@ATTRIBUTE dataviz REAL
@ATTRIBUTE downfall REAL
@ATTRIBUTE election REAL
@ATTRIBUTE advancements REAL
@ATTRIBUTE topic REAL
@ATTRIBUTE intro REAL
@ATTRIBUTE have REAL
@ATTRIBUTE seen REAL
@ATTRIBUTE kpis REAL
@ATTRIBUTE ing REAL
@ATTRIBUTE information REAL
@ATTRIBUTE needs REAL
@ATTRIBUTE education REAL
@ATTRIBUTE variety REAL
@ATTRIBUTE keynote REAL
@ATTRIBUTE things REAL
@ATTRIBUTE hadoop REAL
@ATTRIBUTE mapr REAL
@ATTRIBUTE geographically REAL
@ATTRIBUTE hot REAL
@ATTRIBUTE ent REAL
@ATTRIBUTE build REAL
@ATTRIBUTE spatial REAL
@ATTRIBUTE warehouse REAL
@ATTRIBUTE performance REAL
@ATTRIBUTE you REAL
@ATTRIBUTE explains REAL
@ATTRIBUTE students REAL
@ATTRIBUTE iot REAL
@ATTRIBUTE gardner REAL
@ATTRIBUTE oracle REAL
@ATTRIBUTE revolutionizing REAL
@ATTRIBUTE delegate REAL
@ATTRIBUTE inroads REAL
@ATTRIBUTE tietotekniikka REAL
@ATTRIBUTE data REAL
@ATTRIBUTE the REAL
@ATTRIBUTE architecture REAL
@ATTRIBUTE building REAL
@ATTRIBUTE off REAL
@ATTRIBUTE for REAL
@ATTRIBUTE requires REAL
@ATTRIBUTE register REAL
@ATTRIBUTE internetofthings REAL
@ATTRIBUTE traditional REAL
@ATTRIBUTE chief REAL
@ATTRIBUTE summit REAL
@ATTRIBUTE forbreakthroughs REAL
@ATTRIBUTE healthcare REAL
@ATTRIBUTE directory REAL
@ATTRIBUTE velocity REAL
@ATTRIBUTE dispersed REAL
@ATTRIBUTE executives REAL
@ATTRIBUTE opportunity REAL
@ATTRIBUTE datascience REAL
@ATTRIBUTE docker REAL
@ATTRIBUTE latest REAL

@ATTRIBUTE class {no_relevante,relevante}

@DATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,relevante
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_relevante
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_relevante
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,relevante
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,no_relevante
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,relevante
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,relevante
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_relevante
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,relevante
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,relevante
